id,equ_str,equ_prefix,sol_str,sol_prefix
5481,x*y' + 3*y = 0,add mul 3 y mul x y',c/x^3 - 1/x^3,add mul -1 pow x -3 mul c pow x -3
5482,9*x - 4*y' = 0,add mul -4 y' mul 9 x,c + 9*x^2/8,add c mul div 9 8 pow x 2
5483,-y*ln(2) + y' - 5*ln(2) = 0,add add mul -5 log 2 mul mul -1 y log 2 y',-2^(c + x) - 5,sub -5 pow 2 add c x
5484,42*x^2 + x*y' - y = 0,add add mul -1 y mul 42 pow x 2 mul x y',2*x*(c - 21*x),mul mul 2 x add c mul -21 x
5485,7*y + y' = 0,add mul 7 y y',c*e^(4 - 7*x),mul c exp add 4 mul -7 x
5486,-12*x^11 + y' = 0,add mul -12 pow x 11 y',c + x^12,add c pow x 12
5487,(-1/x)^x*(ln(-1/x) - 1) + y' - 1 = 0,add add -1 mul pow div -1 x x add -1 log div -1 x y',c + x - (-1/x)^x,sub add c x pow div -1 x x
5488,x*y' - y*ln(2 - y) + 2*ln(2 - y) = 0,add add mul 2 log sub 2 y mul x y' mul mul -1 y log sub 2 y,2 - 5^(c*x),sub 2 pow 5 mul c x
5489,x^2 - x*y' + y + 3 = 0,add add add 3 pow x 2 mul mul -1 x y' y,c*x + x*(x + 3) - 3,add add -3 mul c x mul x add 3 x
5490,4*x + 2*y' + 1 = 0,add add 1 mul 2 y' mul 4 x,c - x*(x + 1) + x/2,add add c mul div 1 2 x mul mul -1 x add 1 x
5491,x*y' + 3*x - 2*y + 8 = 0,add add add 8 mul -2 y mul 3 x mul x y',x*(c*x + 4) - x + 4,add sub 4 x mul x add 4 mul c x
5492,x*y' - y + (-3)^sin(3) = 0,add sub pow -3 sin 3 y mul x y',c*x + (-3)^sin(3),add pow -3 sin 3 mul c x
5493,x^2 + 3*x*y' - 3*y = 0,add add pow x 2 mul -3 y mul mul 3 x y',-x*(c + x)/3 + x/3,add mul div 1 3 x mul mul div -1 3 x add c x
5494,2*x^2 - x*y' + y + 5 = 0,add add add 5 mul 2 pow x 2 mul mul -1 x y' y,2*x*(c + x) - 5,add -5 mul mul 2 x add c x
5495,4*x^2*cos(x) - 4*x*y*cos(x) + x*sin(x)*y' - y*sin(x) = 0,add add add mul mul -1 y sin x mul mul 4 pow x 2 cos x mul mul x y' sin x mul mul mul -4 x cos x y,c*x*sin(x)^4 + x,add x mul mul c x pow sin x 4
5496,x*y' - y - 16 = 0,add sub -16 y mul x y',c*x - 16,add -16 mul c x
5497,-2^x*ln(2) - 6*x + y' + 1 = 0,add add add 1 mul -6 x mul mul -1 pow 2 x log 2 y',2^x + c + 3*x^2 - x,add sub add c pow 2 x x mul 3 pow x 2
5498,y' - 4 - cos(20) = 0,add sub -4 cos 20 y',c + 4*x + (x + 2)*cos(20),add add c mul 4 x mul add 2 x cos 20
5499,2*x + y' + 8 = 0,add add 8 mul 2 x y',c + x*(-x - 7) - x,add sub c x mul x sub -7 x
5500,16*x^2*sin(4*x^2/3) - 6*cos(4*x^2/3) - 3*y' = 0,add add mul -6 cos mul div 4 3 pow x 2 mul -3 y' mul mul 16 pow x 2 sin mul div 4 3 pow x 2,c - 2*x*cos(4*x^2/3),add c mul mul -2 x cos mul div 4 3 pow x 2
5501,y^2 + sin(5)*y' = 0,add pow y 2 mul y' sin 5,1/(c + x/sin(5)),pow add c div x sin 5 -1
5502,-12*x*y*ln(2) + x*y' - y = 0,add add mul -1 y mul x y' mul mul mul -12 x y log 2,64^(c + 2*x)*x,mul x pow 64 add c mul 2 x
5503,x*y' - y*ln(y) = 0,add mul x y' mul mul -1 y log y,cos(7)^(c*x),pow cos 7 mul c x
5504,x*y' + y*ln(y - 4) + y*ln(2) - 4*ln(y - 4) - 4*ln(2) = 0,add add add add mul -4 log 2 mul -4 log add -4 y mul x y' mul y log 2 mul y log add -4 y,2^((c - x)/x) + 4,add 4 pow 2 mul pow x -1 sub c x
5505,6*x^3 + 3*x*y' - 3*y + 1 = 0,add add add 1 mul -3 y mul 6 pow x 3 mul mul 3 x y',x*(c - x^2 + 1/(3*x)),mul x add sub c pow x 2 div div 1 3 x
5506,-2*x - y' + 5 = 0,add sub 5 y' mul -2 x,-x*(c/x + x - 5) + 5,add 5 mul mul -1 x add add -5 x div c x
5507,x^2 + x*y' - y + 3 = 0,add sub add 3 pow x 2 y mul x y',-x*(c + x) + x/4 + 3,add add 3 mul div 1 4 x mul mul -1 x add c x
5508,x^2*sin(x) - x*y' + y + 6 = 0,add add add 6 mul pow x 2 sin x mul mul -1 x y' y,x*(c - cos(x) - 2*(3 - x/4)/x),mul x add sub c cos x mul div -2 x add 3 mul div -1 4 x
5509,cos(x - 24) + y' - 1 = 0,add add -1 y' cos add -24 x,c + x - sin(x - 24),sub add c x sin add -24 x
5510,x*y*ln(3) + x*y' - 3*y = 0,add add mul -3 y mul x y' mul mul x y log 3,4*3^(c - x)*x^3,mul mul 4 pow 3 sub c x pow x 3
5511,4*y*sin(4*x) - 8*ln(2)*sin(4*x) + cos(4*x)*y' = 0,add add mul y' cos mul 4 x mul mul -8 log 2 sin mul 4 x mul mul 4 y sin mul 4 x,c*cos(4*x) + ln(4),add mul c cos mul 4 x log 4
5512,x^3 - 2*x*y' + 2*y = 0,add add pow x 3 mul 2 y mul mul -2 x y',-x*(c - 5*x^2/4)/5,mul mul div -1 5 x add c mul div -5 4 pow x 2
5513,18*x - y' + 36 = 0,add sub 36 y' mul 18 x,3*x*(c/x + 3*x + 12),mul mul 3 x add add 12 mul 3 x div c x
5514,2*x + y' + 1 = 0,add add 1 mul 2 x y',x*(-x + (c - x)/x),mul x add mul -1 x mul pow x -1 sub c x
5515,2*x*y' + 2*y - y' = 0,add add mul -1 y' mul 2 y mul mul 2 x y',c/(3 - 6*x),div c add 3 mul -6 x
5516,x*y' + y + 8 = 0,add add 8 mul x y' y,2*(c - 4*x)/x,mul div 2 x add c mul -4 x
5517,2*x*y^2 - 3*y' = 0,add mul -3 y' mul mul 2 x pow y 2,3/(x*(-x + 1 + (c - x)/x)),div div 3 x add sub 1 x mul pow x -1 sub c x
5518,2*x*ln(5) - y*ln(5) - y' - 6*ln(5) + 2 = 0,add add add sub 2 y' mul -6 log 5 mul mul -1 y log 5 mul mul 2 x log 5,-5^(c - x) + 2*x - 6,add sub -6 pow 5 sub c x mul 2 x
5519,x*sqrt(x^(-9))*y' + 18*y*ln(3) = 0,add mul mul 18 y log 3 mul mul x sqrt pow x -9 y',c/3^(4/sqrt(x^(-9))),mul c pow 3 mul -4 pow pow x -9 div -1 2
5520,-4*x^3 + 2*x + y' + 3 = 0,add add add 3 mul -4 pow x 3 mul 2 x y',c + x*(x^3 - x) - 3*x,add add c mul -3 x mul x sub pow x 3 x
5521,x^(5*x)*y' + 25*ln(x) + 25 = 0,add add 25 mul 25 log x mul pow x mul 5 x y',c + 5/x^(5*x),add c mul 5 pow x mul -5 x
5522,x*y' + y*ln(y)*ln(ln(y)) - y*ln(y)*ln(cos(1/4)) = 0,add add mul x y' mul mul y log y log log y mul mul mul -1 y log cos div 1 4 log y,e^(20^(c/x)*cos(1/4)),exp mul pow 20 div c x cos div 1 4
5523,6*5^e^(-2*x^3)*x^2*ln(5) + e^(2*x^3)*y' = 0,add mul y' exp mul 2 pow x 3 mul mul mul 6 pow 5 exp mul -2 pow x 3 pow x 2 log 5,5^e^(-2*x^3) + c,add c pow 5 exp mul -2 pow x 3
5524,-32*y' + 64 + ln(2)/2^x = 0,add add 64 mul -32 y' mul pow 2 mul -1 x log 2,-2^(-x - 5) + c + 2*x,add sub c pow 2 sub -5 x mul 2 x
5525,x^2 + 16*x*y' - 16*y = 0,add add pow x 2 mul -16 y mul mul 16 x y',x*(c - x/16),mul x add c mul div -1 16 x
5526,3*x*y' - 3*y - 10 = 0,add add -10 mul -3 y mul mul 3 x y',c*x + 5*x/3 - 10/3,add add div -10 3 mul div 5 3 x mul c x
5527,5*x*y' - 5*y + 2 = 0,add add 2 mul -5 y mul mul 5 x y',c*x + 2/5,add div 2 5 mul c x
5528,y*ln(5) + y' = 0,add mul y log 5 y',5^(7 - x)*c,mul c pow 5 sub 7 x
5529,2*x^2 + x*y' - y + 11 = 0,add add sub 11 y mul 2 pow x 2 mul x y',c*x + (5 - x)*(2*x + 2) + 1,add add 1 mul c x mul add 2 mul 2 x sub 5 x
5530,2*x^2*y' + 3 = 0,add 3 mul mul 2 pow x 2 y',c - (-x - 3/2)/x,add c mul div -1 x sub div -3 2 x
5531,x*y' - x - y = 0,add sub mul -1 x y mul x y',x*(1 - ln(c/x)) + x,add x mul x sub 1 log div c x
5532,x^2 - 4*x*y' + 4*y + 8 = 0,add add add 8 pow x 2 mul 4 y mul mul -4 x y',-x*(c - x/4) - 2,add -2 mul mul -1 x add c mul div -1 4 x
5533,2*x^2*y' - 1 = 0,add -1 mul mul 2 pow x 2 y',c + (-x - 1/2)/x,add c mul pow x -1 sub div -1 2 x
5534,6*x^2 + x*y' - y - 10 = 0,add add sub -10 y mul 6 pow x 2 mul x y',-6*x*(c + x) - 2*x - 10,add add -10 mul -2 x mul mul -6 x add c x
5535,x^4 - x*y' + 3*y + 3 = 0,add add add 3 pow x 4 mul 3 y mul mul -1 x y',x^3*(c + x) - 1,add -1 mul pow x 3 add c x
5536,22*x*y' + 22*y - 3 = 0,add add -3 mul 22 y mul mul 22 x y',3*(c + x)/(22*x),mul div div 3 22 x add c x
5537,4*x*y' - 4*y - y' = 0,add add mul -1 y' mul -4 y mul mul 4 x y',c*(-4*x^2 + x)/x,mul div c x add x mul -4 pow x 2
5538,-2*x + y' + 1 = 0,add add 1 mul -2 x y',x*(x + (c - x)/x),mul x add x mul pow x -1 sub c x
5539,3*x^2 - x*y' + y - 4 = 0,add add add -4 mul 3 pow x 2 mul mul -1 x y' y,x*(c + 3*x) + 4,add 4 mul x add c mul 3 x
5540,8*x - y' = 0,add mul -1 y' mul 8 x,4*x*(c/x + x),mul mul 4 x add x div c x
5541,x^2*y' - sqrt(2)*x*y' - sqrt(2)*y - 3*sqrt(2) = 0,add add add mul -3 sqrt 2 mul pow x 2 y' mul mul -1 sqrt 2 y mul mul mul -1 x sqrt 2 y',c*(x - sqrt(2))/x - 3,add -3 mul div c x sub x sqrt 2
5542,8*x*y' + 8*y + 63 = 0,add add 63 mul 8 y mul mul 8 x y',c/x - 63/8,add div -63 8 div c x
5543,27*x*y' - 27*y + 82 = 0,add add 82 mul -27 y mul mul 27 x y',c*x - x + 82/27,add sub div 82 27 x mul c x
5544,x*ln(2) - y*ln(2) + 5*y' - 5 + ln(2) = 0,add add add add -5 mul 5 y' mul x log 2 mul mul -1 y log 2 log 2,-2^(c + x/5) + x + 1,sub add 1 x pow 2 add c mul div 1 5 x
5545,45*y' + 2 = 0,add 2 mul 45 y',c - 2*x/45,add c mul div -2 45 x
5546,-y^2 + y' = 0,add mul -1 pow y 2 y',-1/(c + x),div -1 add c x
5547,4*x^3*e^(x^2) - x*y' + y = 0,add add mul mul -1 x y' mul mul 4 pow x 3 exp pow x 2 y,2*x*(c + e^(x^2)),mul mul 2 x add c exp pow x 2
5548,-4*3^x*ln(3) + y' = 0,add mul mul -4 pow 3 x log 3 y',4*3^x + c,add c mul 4 pow 3 x
5549,2*x*y' + y = 0,add mul mul 2 x y' y,sqrt(5)*sqrt(c/x)/16,mul mul div 1 16 sqrt 5 sqrt div c x
5550,27*x^2 - x*y' + y = 0,add add mul 27 pow x 2 mul mul -1 x y' y,x*(c + 27*x) - x,add mul -1 x mul x add c mul 27 x
5551,x^2 + 4*y' = 0,add pow x 2 mul 4 y',c - x^3/12,add c mul div -1 12 pow x 3
5552,3*x^4 + 6*x^3 + x*y' - y - 4 = 0,add add add sub -4 y mul 3 pow x 4 mul 6 pow x 3 mul x y',x*(c + x^2*(-x - 3)) - 4,add -4 mul x add c mul pow x 2 sub -3 x
5553,x*y' - y*ln(-y) - y*ln(6) = 0,add add mul x y' mul mul -1 y log 6 mul mul -1 y log mul -1 y,-sin(2)^(c*x)/6,mul div -1 6 pow sin 2 mul c x
5554,3^x*ln(3)*cos(x)^2 - 3*y*sin(x) - 4*sin(x) - 3*cos(x)*y' = 0,add add add mul -4 sin x mul mul -3 y' cos x mul mul -3 y sin x mul mul pow 3 x pow cos x 2 log 3,(3^x + c)*cos(x)/3 - 4/3,add div -4 3 mul mul div 1 3 add c pow 3 x cos x
5555,y' + 61 = 0,add 61 y',c - 61*x,add c mul -61 x
5556,4*x*y' - 12*y + 3 = 0,add add 3 mul -12 y mul mul 4 x y',(c*x^4 + x)/(4*x),mul div div 1 4 x add x mul c pow x 4
5557,x*y' - y + 4 = 0,add sub 4 y mul x y',c*x - 12*x + 4,add add 4 mul -12 x mul c x
5558,e^(y)*y' - 15 = 0,add -15 mul y' exp y,ln(c + 15*x),log add c mul 15 x
5559,2*x*y' + 2*y - 3 = 0,add add -3 mul 2 y mul mul 2 x y',1 + (c + x)/(2*x),add 1 mul div div 1 2 x add c x
5560,x*y' - y + 1 = 0,add sub 1 y mul x y',c*x - 5*x + 1,add add 1 mul -5 x mul c x
5561,ln(2)*y' + 1 = 0,add 1 mul y' log 2,(c - x)/ln(2) + 2,add 2 mul pow log 2 -1 sub c x
5562,7*x*y' + 7*y - 6 = 0,add add -6 mul 7 y mul mul 7 x y',(c + 6*x/7)/x,mul pow x -1 add c mul div 6 7 x
5563,5*(-x - 1)^4 + y' = 0,add mul 5 pow sub -1 x 4 y',c + (-x - 1)^5,add c pow sub -1 x 5
5564,-y^2 + 8*y' = 0,add mul -1 pow y 2 mul 8 y',12/(c - 3*x/2),div 12 add c mul div -3 2 x
5565,x^2 + x*y' - y + 8 = 0,add sub add 8 pow x 2 y mul x y',-2*x^2 + x*(c + x) + x + 8,add add add 8 x mul -2 pow x 2 mul x add c x
5566,64*x*y' + 64*y + 1 = 0,add add 1 mul 64 y mul mul 64 x y',c/x - 1/64,add div -1 64 div c x
5567,81*y' - 2 = 0,add -2 mul 81 y',c + 2*x/81,add c mul div 2 81 x
5568,-4*sqrt(x)*y*y' + 16*sqrt(x)*e^(3)*y' + 1 = 0,add add 1 mul mul mul -4 sqrt x y' y mul mul mul 16 sqrt x y' exp 3,sqrt(c + sqrt(x)) + 4*e^(3),add sqrt add c sqrt x mul 4 exp 3
5569,3*x^2*cos(x) + 5*x*y*cos(x) - 5*x*sin(x)*y' + 5*y*sin(x) = 0,add add add mul mul 3 pow x 2 cos x mul mul 5 y sin x mul mul mul -5 x y' sin x mul mul mul 5 x cos x y,c*x*sin(x) - 3*x/5,add mul div -3 5 x mul mul c x sin x
5570,3*x*y' + 3*y + 10*y' = 0,add add mul 3 y mul 10 y' mul mul 3 x y',c/(3*x/2 + 5),div c add 5 mul div 3 2 x
5571,x*y' + 2*y + 20 = 0,add add 20 mul 2 y mul x y',c/x^2 - 10,add -10 mul c pow x -2
5572,3*x^2 - 5*y' - 1 = 0,add add -1 mul -5 y' mul 3 pow x 2,c + x^3/5 - x/5,add add c mul div -1 5 x mul div 1 5 pow x 3
5573,x*y' - 2*y + 8 = 0,add add 8 mul -2 y mul x y',x*(c*x - x*cos(1)) + 4,add 4 mul x add mul c x mul mul -1 x cos 1
5574,4*x*y' + 3*y = 0,add mul 3 y mul mul 4 x y',9*3^(1/4)/(c*x)^(3/4),mul mul 9 pow 3 div 1 4 pow mul c x div -3 4
5575,3*x*y' + 3*y + 32 = 0,add add 32 mul 3 y mul mul 3 x y',c/x - 32/3,add div -32 3 div c x
5576,7*x^2 + x*y' - y - 4 = 0,add add sub -4 y mul 7 pow x 2 mul x y',x*(c - 7*x) - 4,add -4 mul x add c mul -7 x
5577,5*x*y' - 2*y = 0,add mul -2 y mul mul 5 x y',x*(c/x)^(3/5),mul x pow div c x div 3 5
5578,2*x*y' + 2*y - 1 = 0,add add -1 mul 2 y mul mul 2 x y',-1/2 + (c + x)/x,add div -1 2 mul pow x -1 add c x
5579,-8*x + y' - 8 = 0,add add -8 mul -8 x y',x*(c/x + 4*x + 8),mul x add add 8 mul 4 x div c x
5580,x*y' - 20*x - 2*y = 0,add add mul -20 x mul -2 y mul x y',x*(c*x - 20),mul x add -20 mul c x
5581,6*sqrt(x)*y' + 3*y*ln(sin(3)) - 2*ln(sin(3)) = 0,add add mul -2 log sin 3 mul mul 3 y log sin 3 mul mul 6 sqrt x y',2/3 - sin(3)^(c - sqrt(x))/3,add div 2 3 mul div -1 3 pow sin 3 sub c sqrt x
5582,x*ln(5)*ln(1/(-x + y + 3)) - y*ln(5)*ln(1/(-x + y + 3)) - 3*ln(5)*ln(1/(-x + y + 3)) - y' + 1 = 0,add add add sub 1 y' mul mul -3 log 5 log pow add sub 3 x y -1 mul mul x log 5 log pow add sub 3 x y -1 mul mul mul -1 y log 5 log pow add sub 3 x y -1,x - 3 + 4^(-4*5^(c + x)),add add -3 x pow 4 mul -4 pow 5 add c x
5583,5*x^2 + 2*x*y' - 2*y = 0,add add mul -2 y mul 5 pow x 2 mul mul 2 x y',-5*x*(c + x/2),mul mul -5 x add c mul div 1 2 x
5584,4*x*y' + x - 8*y = 0,add add x mul -8 y mul mul 4 x y',c*x^2 + x/4,add mul div 1 4 x mul c pow x 2
5585,10*x + y' - 20 = 0,add add -20 mul 10 x y',c + x*(20 - 5*x),add c mul x add 20 mul -5 x
5586,x^3*y' + 3*x^2*y - 2*y' = 0,add add mul -2 y' mul pow x 3 y' mul mul 3 pow x 2 y,c/(x^3 - 2),div c add -2 pow x 3
5587,x^5*y' - 5*x^4*y - 10*x^4 - 5*y' = 0,add add add mul -10 pow x 4 mul -5 y' mul pow x 5 y' mul mul -5 pow x 4 y,c*(x^5 - 5) - 2,add -2 mul c add -5 pow x 5
5588,x^2*y' + 3*cos(3/x) = 0,add mul 3 cos div 3 x mul pow x 2 y',c + sin(3/x),add c sin div 3 x
5589,x^2 - x*y' + y + 1 = 0,add add add 1 pow x 2 mul mul -1 x y' y,x*(c + x) - x - 1,add sub -1 x mul x add c x
5590,-y^2 + 2*y' = 0,add mul -1 pow y 2 mul 2 y',1/(c - x/2),pow add c mul div -1 2 x -1
5591,x*y' + 2*y - 2*sin(4) = 0,add add mul -2 sin 4 mul 2 y mul x y',c/x^2 + sin(4),add mul c pow x -2 sin 4
5592,x*y' - 4*x - 2*y = 0,add add mul -4 x mul -2 y mul x y',4*x*(c*x - 1),mul mul 4 x add -1 mul c x
5593,x*y' - y = 0,add mul -1 y mul x y',c*x + 26*x/27,add mul div 26 27 x mul c x
5594,-y + y' + 3 = 0,add sub 3 y y',3 - e^(c + x),sub 3 exp add c x
5595,x*y' + 2*y + 4 = 0,add add 4 mul 2 y mul x y',2*(c/x - x)/x,mul div 2 x add mul -1 x div c x
5596,-2*x + y' + 12 = 0,add add 12 mul -2 x y',c + (6 - x)^2,add c pow sub 6 x 2
5597,x*y' - y = 0,add mul -1 y mul x y',3*x^2 - 3*x*(c + x),add mul 3 pow x 2 mul mul -3 x add c x
5598,12*x^2*e^(x) + x*y' - y = 0,add add mul -1 y mul x y' mul mul 12 pow x 2 exp x,-4*x*(c + 3*e^(x)),mul mul -4 x add c mul 3 exp x
5599,y' - 2 - cos(3) = 0,add sub -2 cos 3 y',c + x*cos(3) + 2*x,add add c mul 2 x mul x cos 3
5600,x^2*y^2 + y^2 + 5*y' = 0,add add pow y 2 mul 5 y' mul pow x 2 pow y 2,5/(c + x^3/3 + x),div 5 add add c x mul div 1 3 pow x 3
5601,8*x + 4*y' + 1 = 0,add add 1 mul 4 y' mul 8 x,x*(c/x - x - 1/4),mul x add sub div -1 4 x div c x
5602,2*x + y' + ln(3) = 0,add add mul 2 x y' log 3,c - x*(x + ln(3)),add c mul mul -1 x add x log 3
5603,(2*x - 5)*sin(x^2 - 5*x) + y' - 1 = 0,add add -1 mul add -5 mul 2 x sin add pow x 2 mul -5 x y',c + x + cos(x*(x - 5)),add add c x cos mul x add -5 x
5604,-y*ln(5) + 3*y' = 0,add mul 3 y' mul mul -1 y log 5,5^(x/3 + 4/3)*c,mul c pow 5 add div 4 3 mul div 1 3 x
5605,x*e^(y)*y' - 2*e^(y) + 40 = 0,add add 40 mul -2 exp y mul mul x y' exp y,ln(x*(c*x + x) + 20),log add 20 mul x add x mul c x
5606,3*x*y' + 3*y + 4*y' = 0,add add mul 3 y mul 4 y' mul mul 3 x y',c/(3*x/2 + 2),div c add 2 mul div 3 2 x
5607,-y*ln(2) + y' = 0,add mul mul -1 y log 2 y',2^(x - 3)*c,mul c pow 2 add -3 x
5608,x^2 + 8*x*y' - 8*y - 3 = 0,add add add -3 pow x 2 mul -8 y mul mul 8 x y',x*(c - x - 3/x)/8,mul mul div 1 8 x add sub c x div -3 x
5609,24*x*y' - 24*y - 5 = 0,add add -5 mul -24 y mul mul 24 x y',c*x - 5/24,add div -5 24 mul c x
5610,-x*((x + 1)*(ln(x) + 1) + ln(x^x))*(x^x)^(x + 1) - (x^x)^(x + 1) + y' = 0,add add mul -1 pow pow x x add 1 x mul mul mul -1 x pow pow x x add 1 x add mul add 1 x add 1 log x log pow x x y',c + x*(x^x)^(x + 1),add c mul x pow pow x x add 1 x
5611,x^2*y' + 20 = 0,add 20 mul pow x 2 y',c + 20*(1 - x)/x,add c mul div 20 x sub 1 x
5612,x*y' - x - (-4)^(3*cos(3))*x^((-4)^(3*cos(3))) = 0,add add mul -1 x mul x y' mul mul -1 pow -4 mul 3 cos 3 pow x pow -4 mul 3 cos 3,c + x + x^((-4)^(3*cos(3))),add add c x pow x pow -4 mul 3 cos 3
5613,x^2*y^2 - x*y' + y^2 - y = 0,add add sub pow y 2 y mul pow x 2 pow y 2 mul mul -1 x y',-3/(x*(c + 3*x) - 3),div -3 add -3 mul x add c mul 3 x
5614,16*x - 4*y' + 3 = 0,add add 3 mul -4 y' mul 16 x,c + 2*x^2 + 3*x/4,add add c mul 2 pow x 2 mul div 3 4 x
5615,-x^x*(ln(x) + 1) - 2*(3 - y)*y' - 1 = 0,add add -1 mul mul -1 pow x x add 1 log x mul mul -2 sub 3 y y',3 - sqrt(c + x + x^x),sub 3 sqrt add add c x pow x x
5616,2*x*y' + 4*x - 4*y + sqrt(5) = 0,add add add sqrt 5 mul -4 y mul 4 x mul mul 2 x y',c*x^2 + 2*x + sqrt(5)/4,add add mul 2 x mul div 1 4 sqrt 5 mul c pow x 2
5617,y*ln(2) + y' = 0,add mul y log 2 y',2^(1 - x)*c,mul c pow 2 sub 1 x
5618,6*x*ln(2) - 2*y*ln(2) - y' + 3 + 30*ln(2) = 0,add add add sub 3 y' mul 30 log 2 mul mul -2 y log 2 mul mul 6 x log 2,-3*4^(c - x)/2 + 3*x + 15,add add 15 mul 3 x mul div -3 2 pow 4 sub c x
5619,2*x*y*y' - y^2 + 5 = 0,add sub 5 pow y 2 mul mul mul 2 x y' y,x*sqrt(-(c - 5/x)/x),mul x sqrt mul div -1 x add c div -5 x
5620,6*x*y' - 6*y + 13 = 0,add add 13 mul -6 y mul mul 6 x y',c*x + 13/6,add div 13 6 mul c x
5621,2*sqrt(x)*y' + y*y^(1/sin(5))*sin(5) = 0,add mul mul 2 sqrt x y' mul mul pow y pow sin 5 -1 y sin 5,(c + sqrt(x))^(-sin(5)),pow add c sqrt x mul -1 sin 5
5622,3^((1/x)^x)*(ln(1/x) - 1)*(1/x)^x*ln(3) + y' - 1 = 0,add add -1 mul mul mul pow 3 pow pow x -1 x pow pow x -1 x add -1 log pow x -1 log 3 y',-3^((1/x)^x) + c + x,sub add c x pow 3 pow pow x -1 x
5623,x*e^(13/5)*y' - y*e^(13/5) + y' = 0,add add mul mul -1 exp div 13 5 y mul mul x y' exp div 13 5 y',c*(x + e^(-13/5)),mul c add x exp div -13 5
5624,x*y' - y - 2 = 0,add sub -2 y mul x y',c*x - 4*x/3 - 2,add add -2 mul div -4 3 x mul c x
5625,-2*x - x^x*(ln(x) + 1) + y' + 3 = 0,add add add 3 mul -2 x mul mul -1 pow x x add 1 log x y',c + x*(x - 3) + x^x,add add c pow x x mul x add -3 x
5626,x*y' - y + 1 = 0,add sub 1 y mul x y',c*x - x/5 + 1,add add 1 mul div -1 5 x mul c x
5627,8*x*y' + 4*y - 5 = 0,add add -5 mul 4 y mul mul 8 x y',sqrt(c/x)/4 + 5/4,add div 5 4 mul div 1 4 sqrt div c x
5628,40*x + 2*y' - 21 = 0,add add -21 mul 2 y' mul 40 x,c - x*(10*x - 10) + x/2,add add c mul div 1 2 x mul mul -1 x add -10 mul 10 x
5629,-2*x + y' - 6 = 0,add add -6 mul -2 x y',c + (-x - 3)^2,add c pow sub -3 x 2
5630,5*y' + 7 = 0,add 7 mul 5 y',c - 7*x/5,add c mul div -7 5 x
5631,x^2 - 2*x*y' + 2*y + 8 = 0,add add add 8 pow x 2 mul 2 y mul mul -2 x y',c*x + x^2/2 - x - 4,add sub add -4 mul div 1 2 pow x 2 x mul c x
5632,2*x*y^2 + y^2 - 4*y' = 0,add add pow y 2 mul -4 y' mul mul 2 x pow y 2,-4/(c + x^2 + x),div -4 add add c x pow x 2
5633,2*x + x^x*(ln(x) + 1) + y' - 2 = 0,add add add -2 mul 2 x mul pow x x add 1 log x y',c - x^2 + 2*x - x^x,add sub sub c pow x 2 pow x x mul 2 x
5634,2*x*y*sin(x) + 5*x*sin(x) + 2*x*cos(x)*y' - 2*y*cos(x) - 5*cos(x) = 0,add add add add mul -5 cos x mul mul -2 cos x y mul mul 5 x sin x mul mul mul 2 x y' cos x mul mul mul 2 x y sin x,c*x*cos(x) - 5/2,add div -5 2 mul mul c x cos x
5635,25*x*y' - 25*y + 1 = 0,add add 1 mul -25 y mul mul 25 x y',c*x + 2*x + 1/25,add add div 1 25 mul 2 x mul c x
5636,5*x^2 - 5*x*cos(x)*cos(sin(x)) - x*cos(x) - x*y' + y + sin(x) + 5*sin(sin(x)) = 0,add add add add add add mul 5 pow x 2 mul 5 sin sin x mul mul -1 x y' mul mul -1 x cos x mul mul mul -5 x cos x cos sin x y sin x,c*x + 5*x^2 - sin(x) - 5*sin(sin(x)),add add add mul -1 sin x mul -5 sin sin x mul 5 pow x 2 mul c x
5637,4*x^2*y*sin(x^2) + 10*x^2*sin(x^2) + 2*x*cos(x^2)*y' - 2*y*cos(x^2) - 4*cos(x^2)^2 - 5*cos(x^2) = 0,add add add add add mul -5 cos pow x 2 mul -4 pow cos pow x 2 2 mul mul -2 cos pow x 2 y mul mul 10 pow x 2 sin pow x 2 mul mul mul 2 x y' cos pow x 2 mul mul mul 4 pow x 2 y sin pow x 2,-(c*x + 2)*cos(x^2) - 5/2,add div -5 2 mul mul -1 add 2 mul c x cos pow x 2
5638,2*x^2*y' - 11 = 0,add -11 mul mul 2 pow x 2 y',c - 11/(2*x),add c div div -11 2 x
5639,x*y' - 2*y + 2*ln(3) = 0,add add mul -2 y mul 2 log 3 mul x y',c*x^2 + ln(3),add mul c pow x 2 log 3
5640,x*y' + 2*y = 0,add mul 2 y mul x y',-1 + (c/x + x)/x,add -1 mul pow x -1 add x div c x
5641,-2*x^2*cos(x^2) - sin(x^2) + y' - 4 = 0,add add sub -4 sin pow x 2 mul mul -2 pow x 2 cos pow x 2 y',c + x*(sin(x^2) + 4),add c mul x add 4 sin pow x 2
5642,x^2*y' + 3*sin(24) = 0,add mul 3 sin 24 mul pow x 2 y',c + 3*sin(24)/x,add c mul div 3 x sin 24
5643,x*y' + y - 8*y' = 0,add add mul -8 y' mul x y' y,c/(x/4 - 2),div c add -2 mul div 1 4 x
5644,5*x^2 - 4*x*y' + 4*y - 80 = 0,add add add -80 mul 4 y mul 5 pow x 2 mul mul -4 x y',5*x*(c + x)/4 + 20,add 20 mul mul div 5 4 x add c x
5645,x*y' - 2*y = 0,add mul -2 y mul x y',2*x*(c*x + 2*x),mul mul 2 x add mul 2 x mul c x
